     0, 0.1867,    56,     1
     1, 0.1900,    57,     1
     2, 0.1967,    59,     1
     3, 0.2033,    61,     2
     4, 0.2233,    67,     1
     5, 0.2267,    68,     1
     6, 0.2300,    69,     2
     7, 0.2333,    70,     2
     8, 0.2367,    71,     2
     9, 0.2667,    80,     1
    10, 0.2700,    81,     2
    11, 0.2733,    82,     2
    12, 0.2833,    85,     2
    13, 0.2900,    87,     2
    14, 0.2967,    89,     2
    15, 0.3033,    91,     2
    16, 0.3067,    92,     2
    17, 0.3100,    93,     2
    18, 0.3133,    94,     2
    19, 0.3167,    95,     2
    20, 0.3167,    95,     1
    21, 0.3200,    96,     2
