     0, 43.0000,    43,     1
     1, 44.0000,    44,     1
     2, 46.0000,    46,     1
     3, 48.0000,    48,     2
     4, 54.0000,    54,     1
     5, 42.0000,    42,     1
     6, 43.0000,    43,     2
     7, 50.0000,    50,     1
     8, 51.0000,    51,     2
     9, 52.0000,    52,     1
    10, 53.0000,    53,     2
    11, 45.0000,    45,     1
    12, 46.0000,    46,     2
    13, 47.0000,    47,     2
    14, 48.0000,    48,     2
    15, 49.0000,    49,     2
    16, 56.0000,    56,     1
    17, 50.0000,    50,     2
    18, 51.0000,    51,     1
    19, 52.0000,    52,     1
    20, 54.0000,    54,     1
    21, 55.0000,    55,     1
    22, 52.0000,    52,     1
    23, 53.0000,    53,     1
    24, 54.0000,    54,     1
    25, 61.0000,    61,     1
    26, 57.0000,    57,     1
    27, 58.0000,    58,     1
    28, 59.0000,    59,     1
    29, 61.0000,    61,     1
    30, 58.0000,    58,     1
    31, 59.0000,    59,     1
    32, 61.0000,    61,     1
    33, 52.0000,    52,     1
    34, 53.0000,    53,     1
    35, 54.0000,    54,     1
    36, 56.0000,    56,     1
    37, 45.0000,    45,     1
    38, 46.0000,    46,     1
    39, 47.0000,    47,     1
    40, 49.0000,    49,     1
